# timestamp, x, y, z, rx, ry, rz
0,0.00000000000000,-0.00000000000000,-4.03112887415000,-0.00000000000000,-0.00000000000000,1.57079632679490
498913,0.00158301275452,-0.00000497319760,-4.03112856332463,-0.00030877681732,-0.00030780828690,1.56765471218727
995657,0.00316597839374,-0.00001989269070,-4.03112763084859,-0.00061825533101,-0.00061438287115,1.56451305387919
1490243,0.00474884980320,-0.00004475818021,-4.03112607672200,-0.00092843304887,-0.00091972375066,1.56137135218160
1982680,0.00633157986998,-0.00007956916762,-4.03112390094511,-0.00123930748215,-0.00122383092345,1.55822960740479
2472977,0.00791412148358,-0.00012432495505,-4.03112110351826,-0.00155087614554,-0.00152670438754,1.55508781985843
2961144,0.00949642753666,-0.00017902464524,-4.03111768444188,-0.00186313655714,-0.00182834414104,1.55194598985155
3447189,0.01107845092586,-0.00024366714156,-4.03111364371649,-0.00217608623846,-0.00212875018210,1.54880411769253
3931123,0.01266014455260,-0.00031825114806,-4.03110898134272,-0.00248972271440,-0.00242792250891,1.54566220368917
4412955,0.01424146132385,-0.00040277516942,-4.03110369732129,-0.00280404351325,-0.00272586111972,1.54252024814860
4892693,0.01582235415295,-0.00049723751104,-4.03109779165301,-0.00311904616666,-0.00302256601283,1.53937825137735
5370348,0.01740277596039,-0.00060163627906,-4.03109126433879,-0.00343472820962,-0.00331803718659,1.53623621368134
5845928,0.01898267967462,-0.00071596938033,-4.03108411537964,-0.00375108718048,-0.00361227463940,1.53309413536586
6319442,0.02056201823283,-0.00084023452253,-4.03107634477666,-0.00406812062090,-0.00390527836969,1.52995201673561
6790901,0.02214074458173,-0.00097442921412,-4.03106795253106,-0.00438582607586,-0.00419704837597,1.52680985809466
7260313,0.02371881167838,-0.00111855076443,-4.03105893864411,-0.00470420109363,-0.00448758465677,1.52366765974650
7727688,0.02529617249097,-0.00127259628370,-4.03104930311722,-0.00502324322577,-0.00477688721067,1.52052542199400
8193033,0.02687277999960,-0.00143656268309,-4.03103904595188,-0.00534295002711,-0.00506495603631,1.51738314513946
8656360,0.02844858719709,-0.00161044667478,-4.03102816714965,-0.00566331905575,-0.00535179113237,1.51424082948454
9117676,0.03002354708977,-0.00179424477195,-4.03101666671222,-0.00598434787301,-0.00563739249755,1.51109847533036
9576991,0.03159761269826,-0.00198795328892,-4.03100454464137,-0.00630603404347,-0.00592176013063,1.50795608297743
10034314,0.03317073705828,-0.00219156834112,-4.03099180093895,-0.00662837513491,-0.00620489403042,1.50481365272568
10489653,0.03474287322145,-0.00240508584522,-4.03097843560695,-0.00695136871832,-0.00648679419576,1.50167118487445
10943019,0.03631397425604,-0.00262850151914,-4.03096444864741,-0.00727501236788,-0.00676746062554,1.49852867972252
11394420,0.03788399324784,-0.00286181088215,-4.03094984006250,-0.00759930366096,-0.00704689331871,1.49538613756808
11843864,0.03945288330085,-0.00310500925493,-4.03093460985447,-0.00792424017808,-0.00732509227423,1.49224355870875
12291362,0.04102059753816,-0.00335809175963,-4.03091875802567,-0.00824981950294,-0.00760205749113,1.48910094344161
12736921,0.04258708910272,-0.00362105331995,-4.03090228457854,-0.00857603922235,-0.00787778896846,1.48595829206314
13180551,0.04415231115807,-0.00389388866124,-4.03088518951562,-0.00890289692627,-0.00815228670531,1.48281560486927
13622260,0.04571621688924,-0.00417659231054,-4.03086747283954,-0.00923039020776,-0.00842555070082,1.47967288215538
14062058,0.04727875950344,-0.00446915859671,-4.03084913455305,-0.00955851666300,-0.00869758095416,1.47653012421629
14499953,0.04883989223090,-0.00477158165047,-4.03083017465897,-0.00988727389124,-0.00896837746455,1.47338733134626
14935954,0.05039956832568,-0.00508385540453,-4.03081059316022,-0.01021665949482,-0.00923794023122,1.47024450383901
15370070,0.05195774106638,-0.00540597359367,-4.03079039005982,-0.01054667107914,-0.00950626925348,1.46710164198773
15802310,0.05351436375704,-0.00573792975480,-4.03076956536090,-0.01087730625265,-0.00977336453064,1.46395874608502
16232682,0.05506938972783,-0.00607971722714,-4.03074811906664,-0.01120856262684,-0.01003922606205,1.46081581642299
16661194,0.05662277233589,-0.00643132915224,-4.03072605118038,-0.01154043781624,-0.01030385384712,1.45767285329319
17087857,0.05817446496612,-0.00679275847413,-4.03070336170551,-0.01187292943836,-0.01056724788526,1.45452985698663
17512678,0.05972442103193,-0.00716399793941,-4.03068005064552,-0.01220603511375,-0.01082940817595,1.45138682779382
17935666,0.06127259397607,-0.00754504009738,-4.03065611800402,-0.01253975246592,-0.01109033471867,1.44824376600470
18356829,0.06281893727141,-0.00793587730014,-4.03063156378469,-0.01287407912138,-0.01135002751296,1.44510067190871
18776177,0.06436340442170,-0.00833650170271,-4.03060638799132,-0.01320901270958,-0.01160848655838,1.44195754579478
19193717,0.06590594896237,-0.00874690526315,-4.03058059062780,-0.01354455086294,-0.01186571185453,1.43881438795129
19609458,0.06744652446133,-0.00916707974268,-4.03055417169810,-0.01388069121682,-0.01212170340103,1.43567119866612
20023409,0.06898508451974,-0.00959701670582,-4.03052713120629,-0.01421743140950,-0.01237646119754,1.43252797822665
20435579,0.07052158277280,-0.01003670752050,-4.03049946915655,-0.01455476908217,-0.01262998524375,1.42938472691973
20845975,0.07205597289052,-0.01048614335821,-4.03047118555314,-0.01489270187894,-0.01288227553938,1.42624144503171
21254606,0.07358820857855,-0.01094531519413,-4.03044228040042,-0.01523122744679,-0.01313333208419,1.42309813284845
21661481,0.07511824357889,-0.01141421380726,-4.03041275370285,-0.01557034343559,-0.01338315487794,1.41995479065527
